X,Y,marker-symbol,ORGNAME,MAILADD1,MAILADD2,MAILCITY,MAILSTATE,MAILZIP,MAILZIP4,Phone,LAT,LONG
-105.131888,39.717148,park,Colorado ESFO,DENVER FEDERAL CENTER,P.O. BOX 25486,DENVER,CO,80225,0486,303-236-4773,39.717148,-105.131888
-106.607029,35.153764,park,New Mexico ESFO,2105 OSUNA ROAD NE,,ALBUQUERQUE,NM,87113,1001,505-346-2525,35.153764,-106.607029
-108.531797,39.115774,park,Western Colorado ESFO,"764 HORIZON DRIVE, BUILDING B",,GRAND JUNCTION,CO,81506,3946,970-243-2778,39.115774,-108.531797
-109.069792,44.514772,park,Wyoming Ecological Services Sub-Office,800 MEADOW LANE,,CODY,WY,82414,8464,307-578-5116,44.514772,-109.069792
-111.95172,40.718452,park,Utah ESFO,"2369 WEST ORTON CIRCLE, SUITE 50",,WEST VALLEY CITY,UT,84119,7603,801-975-3330,40.718452,-111.95172
-111.97628,46.589823,park,Montana ESFO,"585 SHEPARD WAY, SUITE 1",,HELENA,MT,59601,6287,406-449-5225,46.589823,-111.97628
-112.10895,33.55575,park,Arizona ESFO,"2321 WEST ROYAL PALM ROAD, SUITE 103",,PHOENIX,AZ,85021,4915,602-242-0210,33.55575,-112.10895
-114.116164,48.198693,park,Kalispell Ecological Services Sub-Office,780 CRESTON HATCHERY ROAD,,KALISPELL,MT,59901,8239,406-758-6882,48.198693,-114.116164
-116.287094,43.592511,park,Idaho Fish And Wildlife Office,"1387 SOUTH VINNELL WAY, SUITE 368",,BOISE,ID,83709,1657,208-378-5243,43.592511,-116.287094
-117.27757563062876,33.137640364939628,park,Carlsbad Fish And Wildlife Office,2177 SALK AVENUE - SUITE 250,,CARLSBAD,CA,92008,7385,760-431-9440,33.137641,-117.277575
-119.224895,34.250687,park,Ventura Fish And Wildlife Office,"2493 PORTOLA ROAD, SUITE B",,VENTURA,CA,93003,7726,805-644-1766,34.250687,-119.224895
-119.748155,39.507145,park,Nevada Fish And Wildlife Office,"1340 FINANCIAL BOULEVARD, SUITE 234",,RENO,NV,89502,7147,775-861-6300,39.507145,-119.748155
-121.397369,38.602732,park,Sacramento Fish And Wildlife Office,FEDERAL BUILDING,"2800 COTTAGE WAY, ROOM W-2605",SACRAMENTO,CA,95825,1846,916-414-6600,38.602732,-121.397369
-121.798462,42.237237,park,Klamath Falls Fish And Wildlife Office,1936 CALIFORNIA AVENUE,,KLAMATH FALLS,OR,97601,,541-885-8481,42.237237,-121.798462
-122.562454,45.503595,park,Oregon Fish And Wildlife Office,"2600 SOUTHEAST 98TH AVENUE, SUITE 100",,PORTLAND,OR,97266,1398,503-231-6179,45.503595,-122.562454
-122.806999,47.044027,park,Washington Fish And Wildlife Office,"510 DESMOND DRIVE SE, SUITE 102",,LACEY,WA,98503,1263,360-753-9440,47.044027,-122.806999
-147.706945,64.838175,park,Fairbanks Fish And Wildlife Field Office,101 12TH AVENUE,ROOM 110,FAIRBANKS,AK,99701,6237,907-456-0203,64.838175,-147.706945
-149.894552,61.218791,park,Anchorage Fish And Wildlife Field Office,"605 WEST 4TH AVENUE,  ROOM G-61",,ANCHORAGE,AK,99501,2250,907-271-2888,61.218791,-149.894552
-157.862021,21.303443,park,Pacific Islands Fish And Wildlife Office,"300 ALA MOANA BOULEVARD, BOX 50088",,HONOLULU,HI,96850,5000,808-792-9400,21.303443,-157.862021
-79.967408,32.776423,park,South Carolina ESFO,"176 CROGHAN SPUR ROAD, SUITE 200",,CHARLESTON,SC,29407,7558,843-727-4707,32.776423,-79.967408
